인증분야명,업체명,주소,전화
저염실천음식점,논골집,서울특별시 노원구 노해로 517-3 1 2층 (상계동),02-930-0080
위생등급제,춘향골남원추어탕,서울특별시 마포구 월드컵로36길  18,02-302-7524
위생등급제,유성한우촌,서울특별시 서대문구 북아현로 68 (북아현동),02-365-3389
위생등급제,부를샘,서울특별시 서대문구 연세로 50 지상1층 (신촌동 연세대학교 학생회관식당),02-312-4058
채식메뉴음식점,VIPS 신촌현대 U-Plex,서울특별시 서대문구 연세로 13 11층 (창천동 신촌현대백화점 U-Plex),02-3145-1997
위생등급제,거북이집,서울특별시 서대문구 연희맛로 12-1 (연희동),02-322-8018
위생등급제,어바웃샤브 서대문점,서울특별시 서대문구 충정로 71 (충정로2가),02-0363-9806
위생등급제,오리와메밀,서울특별시 서대문구 충정로 43-4 (충정로3가),02-362-1172
위생등급제,영광굴비백반,서울특별시 서대문구 모래내로 352 (홍은동),02-395-8552
위생등급제,제이앤제이드래곤(JNJDRAGON),서울특별시 서대문구 모래내로 241 (남가좌동),02-336-2392
건강음식점,연희동 영월,서울특별시 서대문구 연희로 81-21 2층 (연희동),02-323-4256
위생등급제,독도아구찜,서울특별시 도봉구 도봉로152길 23-6 (도봉동),02-956-3305
위생등급제,광남수사,서울특별시 마포구 마포대로8안길 18 (공덕동 지상1층지하1층),02-715-5747
위생등급제,마포생고기,서울특별시 노원구 동일로192길 30 12층 (공릉동),02-979-6776
위생등급제,리틀파스타,서울특별시 노원구 동일로192길 62 2층 (공릉동),02-974-0201
먹을만큼적당히,오장동신창 면옥(창동점),서울특별시 도봉구 덕릉로 268 (창동외3필지(지상2층)),02-903-3048
먹을만큼적당히,동해수산,서울특별시 도봉구 도봉로 663-8 (방학동),02-3491-8500
채식메뉴음식점,씨제이푸드빌(주) 피셔스마켓 창동점,서울특별시 도봉구 도봉로 578 2층 (창동 미화빌딩),02-903-6545
채식메뉴음식점,씨제이푸드빌(주) 빕스 창동점,서울특별시 도봉구 도봉로 526 (창동),02-904-1997
저염실천음식점,시골생삼겹자연석돌구이,서울특별시 노원구 공릉로 325-3 (하계동),02-978-7234
위생등급제,포레스트담,서울특별시 노원구 중계로 218 (중계동원광빌딩 B1),02-933-3449
저염실천음식점,DNJ,서울특별시 노원구 한글비석로 212 (중계동),02-939-6700
위생등급제,스시조,서울특별시 노원구 한글비석로 212 2층 (중계동),02-935-1720
위생등급제,DNJ,서울특별시 노원구 한글비석로 212,02-939-6700
위생등급제,담바위,서울특별시 마포구 만리재로1길  5,02-701-7399
위생등급제,우리토종삼계탕,서울특별시 양천구 월정로 60 (신월2동),02-2691-3367
위생등급제,스시노미찌,서울특별시 양천구 목동동로 293 (목동현대41타워 1층 33.34.35호),02-2647-7070
위생등급제,무교동유정낙지신목동점,서울특별시 양천구 목동서로 287 (신정동동문비전 101102103),02-2651-5624
트랜스지방 안심제과점,파리바게뜨 목2점,서울특별시 양천구 목동중앙북로 73 102호 (목동 덕수프라자),02-302-1730
트랜스지방 안심제과점,파리바게뜨,서울특별시 양천구 신목로 85 (신정동),02-690-7126
위생등급제,샤브리안,서울특별시 양천구 신월로 356 (신정동234층),02-2646-2645
위생등급제,원할머니보쌈.족발신정점,서울특별시 양천구 신월로 332 2층 (신정동),02-2065-5353
위생등급제,봉피양,서울특별시 양천구 신월로 112 (신월동),02-2608-3141
트랜스지방 안심제과점,파리바게뜨,서울특별시 양천구 오목로 218 (신정동 1층),02-2693-8245
위생등급제,봉평메밀막국수,서울특별시 양천구 오목로 22 (신월동뉴스타프라자1층101호),02-2697-0889
위생등급제,삼도회집,서울특별시 영등포구 국회대로 750 (여의도동 금산빌딩 지하 3호 4호 5호일부 ),02-783-4610
위생등급제,미 가마솥손두부,서울특별시 영등포구 시흥대로 671 (대림동3호 15호 20호),02-845-3029
먹을만큼적당히,울엄마 식당,서울특별시 영등포구 가마산로 572 (신길동),02-834-4930
저염실천음식점,홍천두부마을,서울특별시 서대문구 세무서길 100,02-396-6969
위생등급제,약초마을,서울특별시 구로구 부일로 873 201호 (온수동 신한하임),02-2617-3939
위생등급제,우림정,서울특별시 영등포구 양산로 43 (양평동3가우림이비지센터 B113호),02-2164-8008
위생등급제,아시아문당산NC점,서울특별시 영등포구 양평로 47 (당산동5가 7층 일부),02-2068-9239
위생등급제,정드림푸드,서울특별시 영등포구 양평로 149 (양평동5가우림라이온스밸리1차 A동 지하 101호),02-2638-7100
저염실천음식점,기소야서여의도점,서울특별시 영등포구 여의공원로 101 122동 (여의도동CCMM빌딩),02-783-7078
위생등급제,기소야서여의도점,서울특별시 영등포구 여의공원로 101 122동 (여의도동CCMM빌딩),02-783-7078
위생등급제,태영한우마을,서울특별시 영등포구 여의공원로 111 (여의도동태영빌딩 지하1층),02-782-2062
위생등급제,백원,서울특별시 영등포구 여의공원로 101 (여의도동CCMM빌딩 12층),02-781-9637
위생등급제,칠미식당,서울특별시 영등포구 여의나루로 81 (여의도동),02-782-0185
위생등급제,(주)이랜드크루즈애슐리한강여의도점,서울특별시 영등포구 여의동로 290 (여의도동 노들나루 1층(일부)2층),02-3271-6900
먹을만큼적당히,가마솥순대국,서울특별시 영등포구 영등포동6가  영등포로 183,02-2675-5991
위생등급제,노걸대감자탕당산점,서울특별시 영등포구 영등포로 106 1층 (당산동2가 대우상가 114호 일부 ),02-2068-0555
먹을만큼적당히,신면옥,서울특별시 영등포구 영등포로 363-1 (신길동지상1층),02-845-7476
위생등급제,본전회관,서울특별시 서대문구 수색로2길 15 (남가좌동3045),02-305-4433
위생등급제,돌쇠힘찬낙지,서울특별시 강서구 강서로52길 34 1층 102호 (내발산동 우장산동),02-2665-1644
위생등급제,이랜드파크수사강서점,서울특별시 강서구 강서로56길 17 9층 (등촌동 강서NC백화점),02-2667-9913
위생등급제,송림가,서울특별시 구로구 경인로  398,02-2066-6000
위생등급제,애슐리 구로이천일,서울특별시 구로구 경인로 393-7 (고척동일이삼전자타운2동 지하1층),02-2685-1012
위생등급제,해적선해물뷔폐,서울특별시 구로구 경인로 397 (고척동 골든타워 3층),02-2617-7711
위생등급제,무한버섯나라,서울특별시 구로구 개봉로 8 2층 (개봉동),02-2613-1414
위생등급제,한우일번지,서울특별시 구로구 구로동로28길 25 (구로동),02-864-7066
먹을만큼적당히,한상차림,서울특별시 강서구 금낭화로15길 21-1 1층 (방화동),02-2663-8334
위생등급제,갯뻘,서울특별시 구로구 고척로 228-6 1층 (고척동),02-2687-9433
저염실천음식점,낙지세상,서울특별시 영등포구 양평로12길 7 1층 (당산동6가),02-2634-3111
위생등급제,웨딩프로포즈,서울특별시 구로구 구로중앙로 134 (구로동신구로자이나인스에비뉴 3층),02-6275-7000
위생등급제,밀향기 칼국수,서울특별시 구로구 구로중앙로 152 (구로동 AK플라자 7층),02-859-4549
위생등급제,한방삼계탕,서울특별시 구로구 새말로  97 신도림 테크노마트 10층 54호,02-2111-8333
위생등급제,광자네황태동태해장국,서울특별시 구로구 새말로 97 (구로동 신도림테크노마트 10층 003호),02-2111-8460
위생등급제,진영푸드(주)피자헛 신도림테크노점,서울특별시 구로구 새말로 97 (구로동 신도림테크노마트 지하 1층 BS022023S003),070 87873350
위생등급제,진미명가,서울특별시 구로구 도림로 49-3 (구로동),02-853-2189
위생등급제,값진식육,서울특별시 영등포구 선유로 58-4 1층 (문래동3가),02-2634-9288
위생등급제,연회장(Banquet),서울특별시 영등포구 국제금융로 10 (여의도동 3층4층),02-6137-7200
위생등급제,더스테이크하우스,서울특별시 영등포구 국제금융로 10 지하3층 (여의도동 IFC몰 309호일부),02-6137-5070
위생등급제,사조참치,서울특별시 영등포구 버드나루로 31 (영등포동2가1층),02-2631-3791
위생등급제,이솔마루,서울특별시 영등포구 선유서로 87 (양평동2가1층),02-2068-0124
채식전문음식점,아승지,서울특별시 영등포구 신길로 176 (신길동),02-832-8443
위생등급제,개봉칼국수,서울특별시 구로구 개봉로16길 41 (개봉동),02-2684-7500
위생등급제,장어세상,서울특별시 구로구 개봉로19길 39 (개봉동 청송빌딩 2층),02-2682-8892
위생등급제,진마루감자탕,서울특별시 구로구 개봉로23길 46 (개봉동),02-2619-8698
위생등급제,고기소문,서울특별시 구로구 구로동로12길 7 (구로동),02-856-1105
위생등급제,도쿄하나 등촌점,서울특별시 강서구 공항대로 367 2층 (등촌동 3동 백제원도쿄오백년장어),02-2668-0880
먹을만큼적당히,신선설농탕,서울특별시 강서구 공항대로 323 2~3층 (등촌동 신선설농탕 발산점),02-3664-7100
저염실천음식점,24시 가마솥설렁탕,서울특별시 강서구 공항대로 34 1층 (공항동 청보빌딩),02-2663-3532
위생등급제,이로운맛집,서울특별시 강서구 공항대로 18-1 지하 1층 101호 (공항동),02-2662-8990
위생등급제,캐슬 테라스(Castle Terrace),서울특별시 강서구 방화대로 94 (외발산동(지상 1층)),02-2660-9030
위생등급제,봉래헌(蓬萊軒),서울특별시 강서구 방화대로 94 1층 (외발산동 1동 메이필드호텔),02-2660-9020
위생등급제,본가마포용강점,서울특별시 마포구 토정로35길 11 (용강동인우빌딩 1층 101호),02-706-0889
저염실천음식점,샤르르샤브샤브 마포점,서울특별시 마포구 토정로37길 41 (염리동 2층),02-717-5082
위생등급제,영인왕순대국,서울특별시 마포구 동교로 158 (서교동),02-718-9328
먹을만큼적당히,만석궁,서울특별시 마포구 독막로 310 지상2층 (염리동),02-719-8071
위생등급제,일산비빔국수,서울특별시 마포구 망원로 96-1 (망원동 1층),070 86374945
위생등급제,비비고상암점,서울특별시 마포구 상암산로 66  CJ E&amp;M센터 지하1층,02-6740-4300
위생등급제,신의주찹쌀순대전문점,서울특별시 마포구 서강로 128 (노고산동),02-715-1772
위생등급제,명태어장,서울특별시 강서구 곰달래로 244 1층 (화곡동 4동),02-2648-0410
위생등급제,홈플러스강서점 박가부대찌개,서울특별시 강서구 화곡로 398 4층 (등촌동 1동 홈플러스강서점),02-2662-7016
위생등급제,향그루,서울특별시 강서구 화곡로 341 2층 201~206호 (화곡동 6동 그랜드아이파크),02-2603-8731
위생등급제,양촌리,서울특별시 강서구 화곡로 109 1~2층 (화곡동 3동),02-2604-5741
위생등급제,대관령황태해장국,서울특별시 강서구 강서로 454 1층 (등촌동 3동),02-3661-7060
위생등급제,비스트로 레피큐르,서울특별시 강서구 강서로 242 상가동 3층 10호 (화곡동 우장산동 힐스테이트),02-2604-8420
위생등급제,홍농숯불갈비,서울특별시 양천구 신월로15길 1 (신월동),02-2695-6979
트랜스지방 안심제과점,파리바게뜨온수남부점,서울특별시 구로구 경인로3길 77 (온수동세건빌딩 101102),02-6220-3927
안심마트,(주)지에스리테일 GS수퍼 목동오거리점,서울특별시 양천구 목동로21길 24 나동 지상1층 (신정동),02-2695-6131
위생등급제,팔방에프앤비(서관),서울특별시 강서구 하늘길 38 3층 (방화동 2동 김포공항국제선),02-2064-7777
위생등급제,숭례문,서울특별시 마포구 양화로 45 (서교동 1층 101호),02-326-5544
위생등급제,로운샤브샤브,서울특별시 마포구 양화로 153 (동교동 토로스쇼핑타워 지1층일부),02-338-3900
위생등급제,놀부보쌈놀부부대찌개,서울특별시 마포구 월드컵로 87 (망원동 마포로얄프라자 201~203호),02-322-9197
위생등급제,리미니월드컵점,서울특별시 마포구 월드컵로 240 (성산동 월드컵경기장 2층 일부),02-306-8176
트랜스지방 안심제과점,파리바게뜨 성산1동점,서울특별시 마포구 월드컵로 148 (성산동1층),02-338-3433
위생등급제,홍반장신의주찹쌀순대,서울특별시 마포구 월드컵로 190 (성산동이안상암2차101.102.103호),02-304-6464
저염실천음식점,고구려홍대점,서울특별시 마포구 월드컵북로 14 (동교동),02-3144-4675
안심식육판매소,신흥정육점,서울특별시 마포구 월드컵북로 190,02-822-5918
먹을만큼적당히,새벽집,서울특별시 마포구 월드컵북로 396 (상암동 누리꿈스퀘어 B1066호 일부),02-2132-8777
저염실천음식점,해밀,서울특별시 마포구 월드컵북로 402 (상암동 KGIT센터 지하1층 B128호),02-6393-5789
먹을만큼적당히,해밀,서울특별시 마포구 월드컵북로 402 (상암동 KGIT센터 지하1층 B128호),02-6393-5678
위생등급제,홍반장신의주찹쌀순대&amp;감자탕,서울특별시 마포구 월드컵북로 381 (상암동 상암택지개발지구상암월드컵4단지상가 101102103104호),02-375-6464
위생등급제,등심플러스,서울특별시 마포구 월드컵북로 361 디엠씨이안상암2단지 114117gh,02-6393-0609
위생등급제,밥내음술내음,서울특별시 마포구 월드컵북로 381 (상암동),02-307-5255
저염실천음식점,발산삼계탕,서울특별시 강서구 강서로 344 (내발산동 우장산동),02-3662-3930
위생등급제,베니파티하우스,서울특별시 강서구 강서로 267 10층 (내발산동 발산1동 송화쇼핑센터),02-2064-0182
위생등급제,돼지집,서울특별시 강서구 강서로 318-5 1층 (내발산동 우장산동),02-3665-3691
먹을만큼적당히,공항순대국,서울특별시 강서구 방화동로 19-6 (방화동(지상 1층)),02-2666-0620
위생등급제,열빈 마곡점,서울특별시 강서구 수명로 78-0 3층 302~303호 (내발산동 1동 새롬프라자),02-2667-3839
위생등급제,갯마을식당,서울특별시 강서구 양천로 362 1층 (가양동 1동),02-3662-5112
위생등급제,쌈촌방화역점,서울특별시 강서구 방화대로47가길 7 2층 202호 (방화동 3동 방화샤르망),02-2666-9249
안심떡집,형제떡방,서울특별시 금천구 시흥대로62길 39 (시흥동지상1층),02-895-9869
먹을만큼적당히,토마토 김밥,서울특별시 금천구 시흥대로63길 43 (시흥동 지상1층),02-6369-7776
먹을만큼적당히,용강반점,서울특별시 금천구 시흥대로64길 14 (시흥동 지상1층),02-892-2320
위생등급제,이찌방,서울특별시 마포구 토정로 296 (용강동 지하1층),02-701-1441
위생등급제,양촌리,서울특별시 마포구 토정로 304 (용강동),02-701-0455
저염실천음식점,본토갈비,서울특별시 마포구 토정로  275,02-714-4936
위생등급제,목우촌한우명가,서울특별시 마포구 토정로 312-1 (용강동),02-717-8110
먹을만큼적당히,마포소금구이,서울특별시 마포구 토정로 278 1층동 (용강동),02-711-0292
먹을만큼적당히,박대박 마포점,서울특별시 마포구 토정로 271 (용강동대현빌딩 1층),02-706-8684
위생등급제,마포옥하우스,서울특별시 마포구 토정로 312  2층,02-716-6661
저염실천음식점,단우정,서울특별시 은평구 은평로11길 9 (응암동 1층),02-355-2900
위생등급제,소천지,서울특별시 구로구 경인로43길 21 (고척동),02-2688-5500
먹을만큼적당히,우리집,서울특별시 금천구 시흥대로71길 36 지상1층 (시흥동),02-803-7468
위생등급제,엉터리생고기,서울특별시 마포구 토정로 170 (신정동 1층일부 2층일부),02-337-5556
위생등급제,피아띠,서울특별시 강서구 강서로13길 7 1층 (화곡동 1동),02-2696-3295
트랜스지방 안심제과점,파리바게뜨,서울특별시 양천구 남부순환로 358 (신월동),02-2692-8295
위생등급제,포포,서울특별시 양천구 공항대로 626 1층 (목동),02-2646-7825
위생등급제,그램그램,서울특별시 구로구 중앙로6길 40 (고척동),02-2616-0151
위생등급제,(주)아워홈 차이웨이,서울특별시 금천구 디지털로 188 지하1층 (가산동 W-MALL),080-234-4757
위생등급제,계절밥상 가산W-MALL점,서울특별시 금천구 디지털로 188 지하1층 (가산동 가산W-MALL),02-2081-0944
위생등급제,팬더밸리,서울특별시 금천구 범안로 1138 201202호 (가산동 고려테크노타운),02-838-9285
위생등급제,바르미샤브샤브,서울특별시 금천구 벚꽃로 266 (가산동 마리오아울렛3관 13층),02-2067-2454
위생등급제,SJ홈푸드,서울특별시 금천구 벚꽃로 278 (가산동SJ테크노빌 B156B156-2 (벗꽃십리길99)),02-3397-0527
위생등급제,원푸드,서울특별시 금천구 가산디지털1로 33-33 B07호 (가산동 대륭테크노타운2),02-853-8960
위생등급제,프리미어 한식 부페,서울특별시 금천구 가산디지털1로 88 B101호 (가산동 IT프리미어타워),070 88608209
위생등급제,롯데캐슬구내식당,서울특별시 금천구 가산디지털2로 98 (가산동IT캐슬 B-112113호 (가산디지털2길99)),02-2026-8376
위생등급제,부뚜막청국장,서울특별시 금천구 독산로 242 (독산동지상1층 (독산동길 127)),02-839-7828
트랜스지방 안심제과점,쉐프과자점,서울특별시 마포구 포은로 40-1 (합정동),02-3143-3605
안심마트,롯데쇼핑(주)롯데슈퍼염창2점,서울특별시 강서구 공항대로59다길 101 (염창동하늘바람빌딩1층),02-3663-7763
저염실천음식점,충무호동복,서울특별시 강서구 화곡로53길 10 (화곡동 6동),02-2691-6300
위생등급제,길맨참치,서울특별시 영등포구 영중로4길 4 (영등포동3가1~2층),02-2634-3737
안심식육판매소,영등포농협 신대방삼거리역지점 하나로마트,서울특별시 동작구 보라매로 110  1층 (대방동),02-2242-5611
위생등급제,(주)킹랍스타,서울특별시 영등포구 가마산로90길 3 (신길동),02-849-4096
위생등급제,하오씨(HAOC),서울특별시 동작구 보라매로5길 15 지상30층 (신대방동),02-6954-0099
저염실천음식점,삼미옥,서울특별시 관악구 남부순환로 1829-6 (봉천동),02-889-9327
위생등급제,놀부부대찌게전문점,서울특별시 관악구 남부순환로 1827 1층 (봉천동),02-878-4455
위생등급제,빕스 봉천역점,서울특별시 관악구 남부순환로 1712 지상1234층 (봉천동),02-882-0254
위생등급제,못난이석갈비,서울특별시 관악구 남부순환로 1619-1 1~3층 (신림동),02-874-9296
위생등급제,화로구이,서울특별시 관악구 남부순환로 1453 (신림동지상2층~4층),02-866-8592
위생등급제,아웃백스테이크하우스사당점,서울특별시 관악구 남부순환로 2068 (남현동),02-3471-1651
위생등급제,새마을식당,서울특별시 영등포구 여의대방로65길 23 (여의도동코오롱2층),02-761-5115
위생등급제,(주)캘리스코사보텐대치점,서울특별시 강남구 도곡로 504 지상1층 125호 (대치동),7075120276
위생등급제,명가원설농탕,서울특별시 강남구 도곡로 527 (대치동),02-566-5677
저염실천음식점,가마솥순두부(등용로점),서울특별시 동작구 등용로 128 (유정빌딩1층),02-823-5533
위생등급제,온누리 쭈꾸미 상도점,서울특별시 동작구 매봉로 13 (상도1동),02-816-5492
저염실천음식점,내고향나주곰탕,서울특별시 동작구 사당로 183 (사당동),02-3476-2999
채식메뉴음식점,러빙헛,서울특별시 동작구 사당로 169 (사당동(1층 102호)),7089828501
위생등급제,형제오리,서울특별시 동작구 상도로 145 (상도동),02-821-3875
저염실천음식점,미소향샤브샤브,서울특별시 동작구 상도로 319 (상도1동 1층),02-824-5780
저염실천음식점,남다른 감자탕,서울특별시 동작구 상도로 33 (대방동),02-3280-2110
위생등급제,우돈명가,서울특별시 동작구 성대로 23 (상도동 2층),02-811-1588
트랜스지방 안심제과점,뚜레쥬르,서울특별시 동작구 장승배기로 171 (노량진동),02-815-2152
위생등급제,꽃피는 메밀밭(중앙대점),서울특별시 동작구 현충로 100 3층 (흑석동),070 43200825
위생등급제,등촌샤브칼국수,서울특별시 동작구 흑석로 94 (흑석동),02-823-3963
위생등급제,엘림성,서울특별시 동작구 노량진로 100 (노량진동기독교TV멀티미디어빌딩(13층)),02-6333-5301
위생등급제,시어터웨딩라무르,서울특별시 동작구 노량진로 74 (대방동),02-828-2100
채식메뉴음식점,씨제이푸드빌(주)빕스 대방점,서울특별시 동작구 노량진로 2 (대방동),02-3280-1997
트랜스지방 안심제과점,파리바게뜨 난곡세이브점,서울특별시 관악구 난우길 16 (신림동),02-868-3001
위생등급제,나주옥,서울특별시 관악구 난우길 34 지상1층 (신림동),02-869-9144
위생등급제,씨제이푸드빌(주)빕스 사당역점,서울특별시 관악구 과천대로 939 (남현동르메이에르 3층),02-3472-1997
위생등급제,마실쌈밥 구로디지털점,서울특별시 관악구 시흥대로 552 2층 (신림동),02-3442-1512
위생등급제,본죽앤비빔밥카페,서울특별시 관악구 솔밭로 2 (봉천동-10 지상1층),02-874-6233
위생등급제,이어도참치,서울특별시 관악구 봉천로 462 지상1층 (봉천동),02-883-3738
위생등급제,얼큰수제비해물칼국수,서울특별시 관악구 관악로 113 1층 (봉천동),02-888-0712
위생등급제,라티놀,서울특별시 관악구 관악로 154-5 (봉천동),02-875-8285
위생등급제,자연별곡 서울대입구점,서울특별시 관악구 관악로 195 지하1층 (봉천동 관악위버폴리스),02-883-0540
위생등급제,메밀꽃밭언덕너머,서울특별시 관악구 관악로 138 1-2층 (봉천동),02-883-7239
채식메뉴음식점,씨제이푸드빌(주)비비고 서울대점,서울특별시 관악구 관악로 1 (신림동서울대학교 교육연구동(2단지) 지상1층(500동)),02-6740-4300
위생등급제,금비,서울특별시 관악구 신림로 164 (신림동지상12층),02-877-9239
위생등급제,워터플라워,서울특별시 관악구 신원로 35 지상3층 (신림동 삼모타워),02-878-3830
트랜스지방 안심제과점,빵굼터 착한빵집,서울특별시 관악구 쑥고개로 84 1층 (봉천동),02-877-6902
위생등급제,혜비수(惠比壽)참치(구에비스참치),서울특별시 영등포구 국제금융로6길 33 (여의도동맨해탄빌딩 709호),02-761-9004
위생등급제,창고43본점2관,서울특별시 영등포구 국제금융로6길 33 (여의도동맨하탄빌딩 408~410호),02-786-9912
위생등급제,창고43본점1관,서울특별시 영등포구 국제금융로6길 33 (여의도동중2층),02-783-4557
위생등급제,향원한정식,서울특별시 영등포구 국제금융로6길 33 (여의도동맨하탄빌딩 지상7층710호(전체)),02-782-7792
위생등급제,이태원천상동여의도점,서울특별시 영등포구 국제금융로6길 17 (여의도동부국증권지하1층),02-780-5700
위생등급제,여일정,서울특별시 영등포구 국제금융로6길 7 (여의도동한양빌딩 지하101호),02-780-6273
위생등급제,아웃백스테이크하우스여의도점,서울특별시 영등포구 국제금융로8길 6 (여의도동신영증권 빌딩 지하1층),02-761-2961
위생등급제,강남숯불갈비,서울특별시 관악구 조원로 20 1층 (신림동),02-867-3233
위생등급제,낙지랑꽃게랑,서울특별시 동작구 양녕로25길 2-4 (상도동),02-825-5700
트랜스지방 안심제과점,파리바게뜨 상도4동점,서울특별시 동작구 양녕로26길 29 (상도동외 1필지 파크빌딩 102호),02-960-0438
위생등급제,행복하다면,서울특별시 관악구 관악로14길 70 1층 101102호 (봉천동 효림빌딩),02-882-2631
저염실천음식점,더 풍족,서울특별시 관악구 관악로15길 6,02-887-7900
위생등급제,영천영화,서울특별시 강남구 도산대로90길 3 (청담동상민빌딩 12층),02-3442-0381
위생등급제,(주)참배나무골 여의도점,서울특별시 영등포구 국회대로62길 25 (여의도동),02-780-5292
위생등급제,놀부부대찌개&amp;철판구이,서울특별시 영등포구 국회대로66길 17 (여의도동성우B/D101호),02-783-8161
위생등급제,더박스,서울특별시 영등포구 국회대로66길 3 (여의도동현대캐피탈 2관 지상1층),02-2167-5500
위생등급제,이도식당,서울특별시 영등포구 국회대로68길 11 (여의도동 지하1층),02-786-4166
건강음식점,창고43VIP점,서울특별시 영등포구 국회대로70길 15-1 2층 203호 (여의도동),02-786-5959
위생등급제,낙원,서울특별시 영등포구 국회대로70길 15-1 (여의도동 201호일부),02-782-1995
위생등급제,어부일식,서울특별시 영등포구 국회대로70길 15-1 102호 (여의도동 극동VIP빌딩 지하1층),02-785-3933
위생등급제,창고43VIP점,서울특별시 영등포구 국회대로70길 15-1 2층 203호 (여의도동),02-786-5959
위생등급제,포베이구로JNK디지털,서울특별시 구로구 디지털로26길 111 (구로동),02-6124-5809
위생등급제,반포식스 구로점,서울특별시 구로구 디지털로31길 20 1층 101102호 (구로동 에이스테크노타워5차),02-2109-0200
먹을만큼적당히,명가숯불구이,서울특별시 구로구 디지털로32길 97-22 1층 34호 (구로동 덕성빌딩),02-868-1470
위생등급제,베나레스(BENARES),서울특별시 구로구 디지털로32길 79 2층 203호 (구로동),02-863-9982
먹을만큼적당히,미쓰족발,서울특별시 구로구 디지털로32나길 19 (구로동),02-830-2616
먹을만큼적당히,만족오향족발,서울특별시 구로구 디지털로32나길 24 (구로동),02-752-4755
위생등급제,와사비,서울특별시 구로구 디지털로32나길 7 (구로동),02-856-1752
위생등급제,춘천옥,서울특별시 금천구 디지털로12길 19 지상2층 (가산동),02-868-9937
위생등급제,엉터리생고기,서울특별시 영등포구 국회대로72길 17 (여의도동지하 11~18호),02-761-0073
위생등급제,참숯꺼먹돼지생고기굴요리,서울특별시 영등포구 국회대로74길 10 (여의도동지하1층),02-784-4733
위생등급제,뉴욕뉴욕,서울특별시 영등포구 국회대로76길 16 (여의도동),02-6670-7001
저염실천음식점,참나무본가,서울특별시 영등포구 당산로31길 25 (당산동3가 1층),02-2671-0747
트랜스지방 안심제과점,파리바게뜨,서울특별시 동작구 여의대방로24길  10-4,02-821-0088
위생등급제,한마루가든,서울특별시 동작구 여의대방로44길  10 4층,02-826-0119
저염실천음식점,초록애,서울특별시 동작구 여의대방로54길 5 (대방동),02-823-9600
위생등급제,바다풍경,서울특별시 강남구 강남대로 328 (역삼동지하1층),02-552-8555
먹을만큼적당히,신선설농탕,서울특별시 강남구 도산대로 515 (청담동지상1층지상2층),02-514-5998
위생등급제,연타발,서울특별시 강남구 도산대로 231 (신사동지상23층),02-545-4248
위생등급제,돈존,서울특별시 강남구 도산대로 208 (논현동12층),02-512-0136
위생등급제,카페비스타,서울특별시 강남구 영동대로 737 (청담동지상1층),02-541-3111
위생등급제,아시안라이브,서울특별시 강남구 영동대로 517 2층 (삼성동 코엑스인터컨티넨탈서울),02-559-7062
위생등급제,코엑스 뽀모도로,서울특별시 강남구 영동대로 513 지하1층 J-107호 (삼성동 컨벤션센터 코엑스몰),02-6002-6250
위생등급제,광양불고기본가,서울특별시 강남구 영동대로 325 (대치동지상1층),02-567-5877
위생등급제,복이오복국 압구정점,서울특별시 강남구 언주로 821 (신사동지상2층3층4층),02-3448-5488
채식메뉴음식점,씨작,서울특별시 강남구 언주로 711 (논현동지하1층),02-545-2222
위생등급제,(주)참배나무골역삼지점,서울특별시 강남구 논현로 503 지하1층 (역삼동),02-2185-5292
먹을만큼적당히,신선설농탕,서울특별시 강남구 논현로 872 (신사동지상1층),02-515-2234
채식메뉴음식점,사월에보리밥압구정지점,서울특별시 강남구 논현로 868 (신사동지하1층),02-540-5292
위생등급제,프랭키즈,서울특별시 구로구 디지털로33길 48 1층 107호 (구로동 대륭포스트타워7차),02-6942-9567
건강음식점,가마솥손두부,서울특별시 동작구 남부순환로271길 20 (사당동),02-3472-2202
위생등급제,키즈카페어린왕자 보라매점,서울특별시 동작구 보라매로5가길 16 304호 (신대방동보라매아카데미타워),02-831-4877
위생등급제,라이스&amp;파스타,서울특별시 동작구 보라매로5가길 16 (신대방동),02-6269-7878
위생등급제,아카데미컨벤션 웨딩 &amp; 부페,서울특별시 동작구 보라매로5가길 16 7층동 701호 (신대방동),02-848-7007
위생등급제,태풍수산,서울특별시 영등포구 당산로36길 12 (당산동4가),02-2679-2316
위생등급제,빅스마일,서울특별시 영등포구 당산로47길 3 (당산동6가),02-2678-0005
위생등급제,토담골,서울특별시 강남구 삼성로 766 (청담동),02-547-7012
먹을만큼적당히,참부자설렁탕,서울특별시 강남구 삼성로 436 지상1층지상2층 (대치동),02-539-2433
채식메뉴음식점,중화요리 연경,서울특별시 강남구 압구정로  438,02-549-7843
위생등급제,삼성웰스토리(주) 암센터푸드코트,서울특별시 강남구 일원로 81 (일원동삼성서울병원암센터 지하1층),02-2226-2278
위생등급제,삼성웰스토리(주)한그루일원점,서울특별시 강남구 일원로 81 (일원동),02-3410-3198
위생등급제,(주)달인디아 달 역삼점,서울특별시 강남구 테헤란로 152 (역삼동강남파이낸스센터 지하1층),02-2112-3888
위생등급제,코나야 파르나스점,서울특별시 강남구 테헤란로 521 지하1층 F-78호 (삼성동 파르나스몰),02-2245-3919
위생등급제,차이나플레인,서울특별시 영등포구 영중로 15 (영등포동4가주식회사 경방타임스퀘어 4층),02-2638-2477
위생등급제,세븐스프링스 타임스퀘어점,서울특별시 영등포구 영중로 15 (영등포동4가타임스퀘어몰 지하 110호(구 441-10)),02-2638-2638
